type,lexeme,tag,form,segmentation,stem_surface,stem_len,root,alternation,suppletive,analytic
VERB,rozumieć,INF,rozumieć,rozumie|ć,rozumie,7,rozumie,,,
VERB,iść,PRS.1SG,idę,id|ę,id,2,,,yes,
VERB,iść,PRS.2SG,idziesz,idzi|esz,idzi,4,,d→dzi,yes,
VERB,iść,PRS.3SG,idzie,idzi|e,idzi,4,,d→dzi,yes,
VERB,iść,PRS.1PL,idziemy,idzi|emy,idzi,4,,d→dzi,yes,
VERB,iść,PRS.3PL,idą,id|ą,id,2,,,yes,
VERB,iść,PST.1SG.F,szłam,szł|am,szł,3,,,yes,
VERB,iść,PST.1SG.M,szedłem,szedł|em,szedł,5,,,yes,
VERB,iść,PST.3SG.F,szła,szł|a,szł,3,,,yes,
VERB,iść,PST.3SG.M,szedł,szedł|∅,szedł,5,,,yes,
VERB,iść,INF,iść,iś|ć,iś,2,,,yes,
NOUN,mama,NOM.SG,mama,mam|a,mam,3,mam,,,
NOUN,mama,GEN.SG,mamy,mam|y,mam,3,mam,,,
NOUN,mama,DAT.SG,mamie,mam|ie,mam,3,mam,,,
NOUN,mama,ACC.SG,mamę,mam|ę,mam,3,mam,,,
NOUN,mama,INS.SG,mamą,mam|ą,mam,3,mam,,,
NOUN,mama,LOC.SG,mamie,mam|ie,mam,3,mam,,,
NOUN,mama,VOC.SG,mamo,mam|o,mam,3,mam,,,
NOUN,mama,NOM.PL,mamy,mam|y,mam,3,mam,,,
NOUN,mama,GEN.PL,mam,mam|∅,mam,3,mam,,,
NOUN,mama,DAT.PL,mamom,mam|om,mam,3,mam,,,
NOUN,mama,ACC.PL,mamy,mam|y,mam,3,mam,,,
NOUN,mama,INS.PL,mamami,mam|ami,mam,3,mam,,,
NOUN,mama,LOC.PL,mamach,mam|ach,mam,3,mam,,,
NOUN,dom,NOM.SG,dom,dom|∅,dom,3,dom,,,
NOUN,dom,GEN.SG,domu,dom|u,dom,3,dom,,,
NOUN,dom,DAT.SG,domowi,dom|owi,dom,3,dom,,,
NOUN,dom,ACC.SG,dom,dom|∅,dom,3,dom,,,
NOUN,dom,INS.SG,domem,dom|em,dom,3,dom,,,
NOUN,dom,LOC.SG,domu,dom|u,dom,3,dom,,,
NOUN,dom,NOM.PL,domy,dom|y,dom,3,dom,,,
NOUN,dom,GEN.PL,domów,dom|ów,dom,3,dom,,,
NOUN,dom,DAT.PL,domom,dom|om,dom,3,dom,,,
NOUN,dom,ACC.PL,domy,dom|y,dom,3,dom,,,
NOUN,dom,INS.PL,domami,dom|ami,dom,3,dom,,,
NOUN,dom,LOC.PL,domach,dom|ach,dom,3,dom,,,
NOUN,dziecko,NOM.SG,dziecko,dzie|cko,dzie,4,dzie,,,
NOUN,dziecko,GEN.SG,dziecka,dzie|cka,dzie,4,dzie,,,
NOUN,dziecko,DAT.SG,dziecku,dzie|cku,dzie,4,dzie,,,
NOUN,dziecko,ACC.SG,dziecko,dzie|cko,dzie,4,dzie,,,
NOUN,dziecko,INS.SG,dzieckiem,dzie|ckiem,dzie,4,dzie,,,
NOUN,dziecko,LOC.SG,dziecku,dzie|cku,dzie,4,dzie,,,
NOUN,dziecko,NOM.PL,dzieci,dzie|ci,dzie,4,dzie,c/ć,,
NOUN,dziecko,GEN.PL,dzieci,dzie|ci,dzie,4,dzie,c/ć,,
NOUN,dziecko,DAT.PL,dzieciom,dzie|ciom,dzie,4,dzie,c/ć,,
NOUN,dziecko,ACC.PL,dzieci,dzie|ci,dzie,4,dzie,c/ć,,
NOUN,dziecko,INS.PL,dziećmi,dzie|ćmi,dzie,4,dzie,c/ć,,
NOUN,dziecko,LOC.PL,dzieciach,dzie|ciach,dzie,4,dzie,c/ć,,
NOUN,człowiek,NOM.SG,człowiek,człowiek|∅,człowiek,8,człowiek,,,
NOUN,człowiek,GEN.SG,człowieka,człowiek|a,człowiek,8,człowiek,,,
NOUN,człowiek,DAT.SG,człowiekowi,człowiek|owi,człowiek,8,człowiek,,,
NOUN,człowiek,ACC.SG,człowieka,człowiek|a,człowiek,8,człowiek,,,
NOUN,człowiek,INS.SG,człowiekiem,człowiek|iem,człowiek,8,człowiek,,,
NOUN,człowiek,LOC.SG,człowieku,człowiek|u,człowiek,8,człowiek,,,
NOUN,człowiek,NOM.PL,ludzie,ludzi|e,ludzi,5,człowiek,,yes,
NOUN,człowiek,GEN.PL,ludzi,ludzi|∅,ludzi,5,człowiek,,yes,
NOUN,człowiek,DAT.PL,ludziom,ludzi|om,ludzi,5,człowiek,,yes,
NOUN,człowiek,ACC.PL,ludzi,ludzi|∅,ludzi,5,człowiek,,yes,
NOUN,człowiek,INS.PL,ludźmi,ludź|mi,ludź,4,człowiek,,yes,
NOUN,człowiek,LOC.PL,ludziach,ludzi|ach,ludzi,5,człowiek,,yes,
