type,lexeme,tag,form,segmentation,stem_surface,stem_len,root,alternation,suppletive,analytic,HerBERT_BPE_PL__n,HerBERT_BPE_PL__SI,HerBERT_BPE_PL__ISS,mBERT_WordPiece__n,mBERT_WordPiece__SI,mBERT_WordPiece__ISS,XLM-R_Unigram__n,XLM-R_Unigram__SI,XLM-R_Unigram__ISS,GPT2_BPE_EN__n,GPT2_BPE_EN__SI,GPT2_BPE_EN__ISS
VERB,iść,INF,iść,iś|ć,iś,2,,,yes,,1,1,0,2,0,0,2,0,0,4,0,1
NOUN,mama,NOM.SG,mama,mam|a,mam,3,mam,,,,1,1,0,1,1,0,1,1,0,2,0,0
NOUN,mama,GEN.SG,mamy,mam|y,mam,3,mam,,,,1,1,0,2,1,1,1,1,0,2,0,0
NOUN,mama,DAT.SG,mamie,mam|ie,mam,3,mam,,,,1,1,0,2,1,1,2,1,0,3,0,1
NOUN,mama,ACC.SG,mamę,mam|ę,mam,3,mam,,,,1,1,0,2,1,1,2,1,1,4,0,1
NOUN,mama,INS.SG,mamą,mam|ą,mam,3,mam,,,,1,1,0,2,1,1,2,0,0,4,0,1
NOUN,mama,LOC.SG,mamie,mam|ie,mam,3,mam,,,,1,1,0,2,1,1,2,1,0,3,0,1
NOUN,mama,VOC.SG,mamo,mam|o,mam,3,mam,,,,2,0,0,2,1,1,2,0,0,2,0,0
NOUN,mama,NOM.PL,mamy,mam|y,mam,3,mam,,,,1,1,0,2,1,1,1,1,0,2,0,0
NOUN,mama,GEN.PL,mam,mam|∅,mam,3,mam,,,,1,1,,1,1,,1,1,,2,0,
NOUN,mama,DAT.PL,mamom,mam|om,mam,3,mam,,,,2,0,0,2,1,1,2,1,1,3,0,1
NOUN,mama,ACC.PL,mamy,mam|y,mam,3,mam,,,,1,1,0,2,1,1,1,1,0,2,0,0
NOUN,mama,INS.PL,mamami,mam|ami,mam,3,mam,,,,2,0,0,2,1,0,2,1,0,3,0,1
NOUN,mama,LOC.PL,mamach,mam|ach,mam,3,mam,,,,2,0,0,2,1,0,2,1,0,3,0,1
NOUN,dom,NOM.SG,dom,dom|∅,dom,3,dom,,,,1,1,,1,1,,1,1,,1,1,
NOUN,dom,GEN.SG,domu,dom|u,dom,3,dom,,,,1,1,0,1,1,0,1,1,0,2,1,1
NOUN,dom,DAT.SG,domowi,dom|owi,dom,3,dom,,,,2,1,1,2,1,0,2,1,1,3,1,1
NOUN,dom,ACC.SG,dom,dom|∅,dom,3,dom,,,,1,1,,1,1,,1,1,,1,1,
NOUN,dom,INS.SG,domem,dom|em,dom,3,dom,,,,1,1,0,2,1,0,2,1,1,2,1,1
NOUN,dom,LOC.SG,domu,dom|u,dom,3,dom,,,,1,1,0,1,1,0,1,1,0,2,1,1
NOUN,dom,NOM.PL,domy,dom|y,dom,3,dom,,,,1,1,0,1,1,0,1,1,0,2,1,1
NOUN,dom,GEN.PL,domów,dom|ów,dom,3,dom,,,,1,1,0,1,1,0,2,1,1,3,1,1
NOUN,dom,DAT.PL,domom,dom|om,dom,3,dom,,,,2,0,0,2,1,0,2,1,1,2,1,1
NOUN,dom,ACC.PL,domy,dom|y,dom,3,dom,,,,1,1,0,1,1,0,1,1,0,2,1,1
NOUN,dom,INS.PL,domami,dom|ami,dom,3,dom,,,,2,0,0,2,1,0,2,1,0,2,1,1
NOUN,dom,LOC.PL,domach,dom|ach,dom,3,dom,,,,1,1,0,2,1,0,2,1,0,2,1,1
NOUN,dziecko,NOM.SG,dziecko,dzie|cko,dzie,4,dzie,,,,1,1,0,3,0,1,1,1,0,3,0,1
NOUN,dziecko,GEN.SG,dziecka,dzie|cka,dzie,4,dzie,,,,1,1,0,3,0,1,1,1,0,4,0,1
NOUN,dziecko,DAT.SG,dziecku,dzie|cku,dzie,4,dzie,,,,1,1,0,4,0,1,1,1,0,4,0,1
NOUN,dziecko,ACC.SG,dziecko,dzie|cko,dzie,4,dzie,,,,1,1,0,3,0,1,1,1,0,3,0,1
NOUN,dziecko,INS.SG,dzieckiem,dzie|ckiem,dzie,4,dzie,,,,1,1,0,4,0,1,1,1,0,4,0,1
NOUN,dziecko,LOC.SG,dziecku,dzie|cku,dzie,4,dzie,,,,1,1,0,4,0,1,1,1,0,4,0,1
NOUN,dziecko,NOM.PL,dzieci,dzie|ci,dzie,4,dzie,c/ć,,,1,1,0,1,1,0,1,1,0,3,0,1
NOUN,dziecko,GEN.PL,dzieci,dzie|ci,dzie,4,dzie,c/ć,,,1,1,0,1,1,0,1,1,0,3,0,1
NOUN,dziecko,DAT.PL,dzieciom,dzie|ciom,dzie,4,dzie,c/ć,,,1,1,0,2,1,0,2,1,0,4,0,1
NOUN,dziecko,ACC.PL,dzieci,dzie|ci,dzie,4,dzie,c/ć,,,1,1,0,1,1,0,1,1,0,3,0,1
NOUN,dziecko,INS.PL,dziećmi,dzie|ćmi,dzie,4,dzie,c/ć,,,1,1,0,4,0,1,1,1,0,4,0,1
NOUN,dziecko,LOC.PL,dzieciach,dzie|ciach,dzie,4,dzie,c/ć,,,1,1,0,2,1,0,2,1,0,4,0,1
NOUN,człowiek,NOM.SG,człowiek,człowiek|∅,człowiek,8,człowiek,,,,1,1,,2,0,,1,1,,5,0,
NOUN,człowiek,GEN.SG,człowieka,człowiek|a,człowiek,8,człowiek,,,,1,1,0,1,1,0,1,1,0,5,0,0
NOUN,człowiek,DAT.SG,człowiekowi,człowiek|owi,człowiek,8,człowiek,,,,1,1,0,3,0,1,2,1,1,7,0,1
NOUN,człowiek,ACC.SG,człowieka,człowiek|a,człowiek,8,człowiek,,,,1,1,0,1,1,0,1,1,0,5,0,0
NOUN,człowiek,INS.SG,człowiekiem,człowiek|iem,człowiek,8,człowiek,,,,1,1,0,3,0,1,2,1,1,6,0,0
NOUN,człowiek,LOC.SG,człowieku,człowiek|u,człowiek,8,człowiek,,,,1,1,0,3,0,1,2,1,1,5,0,0
NOUN,człowiek,NOM.PL,ludzie,ludzi|e,ludzi,5,człowiek,,yes,,1,1,0,2,1,1,1,1,0,3,0,0
NOUN,człowiek,GEN.PL,ludzi,ludzi|∅,ludzi,5,człowiek,,yes,,1,1,,1,1,,1,1,,3,0,
NOUN,człowiek,DAT.PL,ludziom,ludzi|om,ludzi,5,człowiek,,yes,,1,1,0,2,1,1,2,1,1,4,0,1
NOUN,człowiek,ACC.PL,ludzi,ludzi|∅,ludzi,5,człowiek,,yes,,1,1,,1,1,,1,1,,3,0,
NOUN,człowiek,INS.PL,ludźmi,ludź|mi,ludź,4,człowiek,,yes,,1,1,0,4,0,1,1,1,0,5,0,1
NOUN,człowiek,LOC.PL,ludziach,ludzi|ach,ludzi,5,człowiek,,yes,,1,1,0,2,1,1,2,1,1,4,0,1
